	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SNORD13	26251.0387657065	4.40629451227824	0.113492941585858	38.8243925191141	0	0
GAS5	48328.8241597306	3.85238953141851	0.112733797005685	34.1724454754614	6.20715971181423e-256	2.90805432498497e-252
SNORD12C	5845.91183005263	4.03546778944618	0.130038541193856	31.0328595845311	1.9433124091e-211	6.06961242442234e-208
SNORD104	6618.49856162071	3.63390184929141	0.126131126600477	28.8105081373124	1.58417643752015e-182	3.71093330489096e-179
SNORD6	3448.92094335068	4.22847901107199	0.147979996007653	28.574666341073	1.38738476848328e-179	2.59995905613767e-176
SNORA3B	4349.66993988617	3.80501821275459	0.139413440111747	27.2930515860213	5.12874681417239e-164	8.00939294146588e-161
SNORD15B	3985.78190322636	4.12084623284168	0.151139673510678	27.2651524058675	1.09895621313457e-163	1.47103138815298e-160
SNORD83A	4273.08715287044	4.03918408876076	0.148533199710163	27.1938132124166	7.68678853144785e-163	9.0031510674583e-160
SNORA65	3003.17372902139	4.24248357312661	0.162959430392401	26.0339862683053	2.04274423805018e-149	2.12672372339225e-146
SNHG1	7962.26139958885	3.05844713396926	0.120271020296829	25.4296265752216	1.18635148649618e-142	1.11161134284692e-139
SNORD46	2365.77713299759	4.08492763210182	0.16479207507977	24.7883742596508	1.19656069324405e-135	1.01925215415425e-132
SNORA28	2038.35536421745	4.48796125002249	0.181326136262109	24.7507686566215	3.04176924000698e-135	2.37511481490545e-132
SNORA80E	1768.75807982591	4.37805885359951	0.182814763260636	23.9480596397884	9.68048288478728e-127	6.97739420234283e-124
SNORD3C	6346.36730662559	3.3172243504802	0.13960703696125	23.761154327779	8.42583252364582e-125	5.6392893390401e-122
SNORA72	1563.96339535482	5.06808973434461	0.216622912182804	23.3959080471956	4.70378937107535e-121	2.93830042713174e-118
SNORD100	2021.12527816832	3.91991456053364	0.170867738664603	22.9412210354586	1.80298149706064e-116	1.05587103921614e-113
SNORA80B	1554.80473276497	4.20541132275537	0.189943658051211	22.1403092153861	1.29346286075622e-108	7.12926294428577e-106
SNHG5	2865.09596282196	3.44261252405395	0.155768123239067	22.1008795154473	3.09970419145197e-108	1.61356823743917e-105
SNORD88A	1643.02228656779	4.27655822314521	0.200192088706491	21.3622738579607	2.99853833048195e-101	1.4787528503482e-98
SNORD70	1325.60945387669	4.24084393825944	0.201856197938501	21.0092332143871	5.39996636332454e-98	2.52988424121755e-95
SNORD101	1788.44190182044	4.35482494333383	0.207517506899429	20.9853376151264	8.92867823897879e-98	3.98389119520149e-95
SNORA71B	1791.62259934177	3.57959159163517	0.170916685949589	20.9434881781581	2.15118614432246e-97	9.16209735104613e-95
SNORD91A	1544.52613906053	3.78907907266264	0.181024789697873	20.9312717831991	2.77980151908322e-97	1.13246696668738e-94
SNORA73B	12089.0556110439	2.50616323595785	0.120236269200816	20.8436543533474	1.7403321702789e-96	6.79454684813052e-94
SNORD11	1731.27500142198	3.99783966103201	0.193199231048571	20.6928342278285	4.01882234651762e-95	1.5062546154748e-92
SNORD91B	1437.99287052804	3.85421870264823	0.1923139088352	20.0412894001912	2.40457337585835e-89	8.66571251222799e-87
SNORD14A	1531.60930370967	3.72632422248221	0.189257459675108	19.6891801722325	2.66975400503937e-86	9.26503519526627e-84
SNORD53B	1387.21142880727	4.08437922559321	0.210863312758289	19.3697954004692	1.38808032347412e-83	4.64511165391162e-81
MIR663AHG	1902.7197371282	3.18991601350208	0.167686646123191	19.0230771933896	1.09843426647808e-80	3.54907899203434e-78
SNORA2B	987.407353937992	4.52357087212986	0.241470937437177	18.7333967397495	2.64489634138391e-78	8.26089290625576e-76
SNORD66	1208.14385807463	4.02910178194943	0.217354724714786	18.5369873474636	1.03880226955903e-76	3.13986363411873e-74
SNORD92	1898.48513613251	3.57849476173584	0.193259235796199	18.5165523758436	1.5185547554256e-76	4.31177516919331e-74
SNORD17	1756.00261169952	3.36530835866405	0.181729928354086	18.5181845893156	1.47321505859447e-76	4.31177516919331e-74
SNORA66	1181.51145194608	4.12210527296142	0.226643371408349	18.1876277578598	6.46796594320885e-74	1.78249532023138e-71
SNORD82	1259.44576838785	3.89269390971212	0.21418598115368	18.1743636476334	8.23786836991243e-74	2.20539504645941e-71
SNORD1B	933.629381503981	4.06974167715699	0.22542801972429	18.0533976305807	7.41836384954772e-73	1.93083525750728e-70
SNORD4A	1008.20139696263	4.08106529661308	0.226285782950148	18.0350053079215	1.03485501587884e-72	2.62070040507695e-70
SNORD99	1156.13808816238	4.15674240400839	0.230676512066765	18.0197904275807	1.36258673978722e-72	3.35985203994901e-70
SNORA74A	4010.32753901725	2.8102335498766	0.158797760720851	17.6969343718687	4.42762228591327e-70	1.0637646363848e-67
SNORD94	969.412011540057	3.90981010217513	0.222175158612553	17.5978724470875	2.55752833010324e-69	5.99101011326683e-67
SNORD11B	1451.70526557311	3.50993892641616	0.203900819703627	17.2139520160728	2.08691279232942e-66	4.6558030628873e-64
ENSG00000289901	4310.23841009876	2.30030055357731	0.136096636312137	16.9019647796554	4.35161774450831e-64	9.26696778773702e-62
RNU5A-1	4461.17980037863	2.21669167159564	0.13332913938457	16.625710492302	4.53953142624783e-62	9.45231321420937e-60
SNORD41	770.812876289222	4.02816354527574	0.243701160042022	16.5291110825289	2.26458683863952e-61	4.61286493001137e-59
RMRP	39347.4022095734	1.78375004562243	0.110389378270949	16.1587108611504	9.86021145004127e-59	1.96574853801887e-56
SNORA46	693.357877407517	4.1171848796943	0.264818473652116	15.5471966245939	1.66224106095327e-54	3.2448330710692e-52
SNORD53	818.027424270072	3.81194030683561	0.246513966759205	15.4633847199381	6.12914951902273e-54	1.17204348965802e-51
RNU4-2	18378.3073070764	1.71936050491493	0.111743570756743	15.3866615615662	2.01145912851319e-53	3.69556314395463e-51
RNA5SP370	4684.77635023174	2.00688571905628	0.131209756871853	15.2952476012612	8.22474296555757e-53	1.48203541513989e-50
SNORA19	743.996408264534	3.80591452019387	0.248888830285393	15.2916244406378	8.69538605651224e-53	1.53727862923622e-50
